20 4 20
16 17 18 19
0 16 400Gbps 0.0005ms 0
1 16 400Gbps 0.0005ms 0
2 16 400Gbps 0.0005ms 0
3 16 400Gbps 0.0005ms 0
4 16 400Gbps 0.0005ms 0
5 16 400Gbps 0.0005ms 0
6 16 400Gbps 0.0005ms 0
7 16 400Gbps 0.0005ms 0
8 17 400Gbps 0.0005ms 0
9 17 400Gbps 0.0005ms 0
10 17 400Gbps 0.0005ms 0
11 17 400Gbps 0.0005ms 0
12 17 400Gbps 0.0005ms 0
13 17 400Gbps 0.0005ms 0
14 17 400Gbps 0.0005ms 0
15 17 400Gbps 0.0005ms 0
16 18 400Gbps 0.0005ms 0
16 19 400Gbps 0.0005ms 0
17 18 400Gbps 0.0005ms 0
17 19 400Gbps 0.0005ms 0
